exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
greedy_dist5_cvcy_obj_conf_mult_30_yc_results,mini_train,0.560,0.407,0.692,0.605,0.306,0.673,0.775,0.461
hungarian_dist2_cvcy_obj_conf_mult_25_yc_results,mini_train,0.443,0.222,0.575,0.425,0.184,0.570,0.775,0.349
hungarian_dist5_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.504,0.410,0.651,0.473,0.214,0.583,0.775,0.424
greedy_dist5_ack_conf_mult_15_noyc_results,mini_train,0.466,0.303,0.538,0.474,0.264,0.553,0.775,0.353
greedy_dist5_ack_conf_padd_10_noyc_results,mini_train,0.474,0.326,0.533,0.486,0.184,0.596,0.775,0.418
greedy_dist5_ack_conf_padd_20_noyc_results,mini_train,0.479,0.391,0.537,0.486,0.159,0.586,0.775,0.417
hungarian_dist5_ack_conf_padd_30_yc_results,mini_train,0.449,0.346,0.530,0.381,0.191,0.559,0.775,0.361
hungarian_dist10_ack_conf_mult_15_noyc_results,mini_train,0.357,0.147,0.442,0.280,0.180,0.519,0.775,0.155
hungarian_dist5_ack_conf_padd_50_noyc_results,mini_train,0.442,0.320,0.529,0.375,0.187,0.532,0.775,0.373
hungarian_dist2_cvcy_conf_mult_05_yc_results,mini_train,0.450,0.271,0.493,0.422,0.295,0.664,0.775,0.230
greedy_dist10_cvcy_obj_conf_mult_25_yc_results,mini_train,0.569,0.361,0.714,0.637,0.389,0.664,0.775,0.447
greedy_dist2_cvcy_conf_mult_15_yc_results,mini_train,0.503,0.300,0.594,0.513,0.247,0.721,0.775,0.373
hungarian_dist5_ack_conf_mult_50_yc_results,mini_train,0.423,0.245,0.529,0.371,0.199,0.472,0.775,0.372
hungarian_dist5_cvcy_conf_mult_25_yc_results,mini_train,0.514,0.388,0.682,0.474,0.246,0.590,0.775,0.446
hungarian_dist5_cvcy_conf_mult_15_noyc_results,mini_train,0.523,0.410,0.658,0.476,0.284,0.602,0.775,0.459
greedy_dist10_cvcy_count_yc_results,mini_train,0.611,0.266,0.752,0.616,0.444,0.793,0.768,0.642
hungarian_dist5_cvcy_conf_mult_20_yc_results,mini_train,0.499,0.385,0.651,0.479,0.239,0.606,0.775,0.360
hungarian_dist2_cvcy_obj_conf_padd_40_yc_results,mini_train,0.463,0.276,0.574,0.428,0.169,0.605,0.775,0.410
greedy_dist10_cvcy_obj_conf_mult_05_yc_results,mini_train,0.577,0.265,0.732,0.621,0.514,0.693,0.775,0.439
hungarian_dist5_cvcy_conf_mult_40_noyc_results,mini_train,0.501,0.344,0.659,0.464,0.266,0.547,0.775,0.449
greedy_dist2_cvcy_obj_conf_mult_30_yc_results,mini_train,0.479,0.256,0.573,0.514,0.192,0.678,0.775,0.364
greedy_dist5_cvcy_conf_mult_15_yc_results,mini_train,0.577,0.432,0.718,0.599,0.386,0.713,0.775,0.417
hungarian_dist10_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.504,0.329,0.654,0.447,0.341,0.563,0.775,0.419
greedy_dist10_cvcy_conf_mult_05_noyc_results,mini_train,0.584,0.284,0.758,0.627,0.506,0.697,0.775,0.443
greedy_dist10_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.591,0.371,0.749,0.639,0.418,0.717,0.775,0.465
greedy_dist2_cvcy_obj_conf_padd_10_yc_results,mini_train,0.520,0.347,0.566,0.540,0.217,0.744,0.775,0.448
greedy_dist2_cvcy_conf_mult_50_noyc_results,mini_train,0.478,0.226,0.575,0.496,0.192,0.659,0.775,0.425
greedy_dist2_cvcy_conf_mult_20_noyc_results,mini_train,0.478,0.224,0.594,0.513,0.191,0.700,0.775,0.348
hungarian_dist2_cvcy_obj_conf_mult_50_noyc_results,mini_train,0.453,0.210,0.575,0.432,0.183,0.553,0.775,0.441
greedy_dist2_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.502,0.301,0.573,0.522,0.197,0.696,0.775,0.453
hungarian_dist2_ack_conf_mult_30_noyc_results,mini_train,0.393,0.263,0.500,0.397,0.187,0.369,0.775,0.259
greedy_dist5_cvcy_obj_conf_mult_15_yc_results,mini_train,0.571,0.448,0.692,0.603,0.386,0.694,0.775,0.398
hungarian_dist10_ack_conf_mult_40_yc_results,mini_train,0.346,0.099,0.437,0.209,0.129,0.468,0.775,0.308
hungarian_dist2_ack_conf_mult_40_yc_results,mini_train,0.397,0.232,0.500,0.399,0.187,0.370,0.775,0.316
hungarian_dist10_cvcy_conf_mult_40_yc_results,mini_train,0.494,0.336,0.650,0.459,0.343,0.551,0.775,0.343
hungarian_dist5_cvcy_obj_conf_mult_30_yc_results,mini_train,0.512,0.368,0.659,0.479,0.264,0.587,0.775,0.451
greedy_dist10_cvcy_conf_mult_10_yc_results,mini_train,0.586,0.377,0.761,0.635,0.478,0.708,0.775,0.368
greedy_dist2_cvcy_obj_count_noyc_results,mini_train,0.448,0.126,0.497,0.211,0.214,0.802,0.767,0.524
greedy_dist10_cvcy_conf_padd_50_yc_results,mini_train,0.594,0.405,0.734,0.643,0.384,0.706,0.775,0.510
greedy_dist5_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.587,0.505,0.690,0.624,0.297,0.725,0.775,0.495
greedy_dist5_ack_conf_mult_40_noyc_results,mini_train,0.444,0.235,0.529,0.455,0.208,0.524,0.775,0.383
greedy_dist2_ack_conf_mult_50_noyc_results,mini_train,0.423,0.226,0.523,0.468,0.192,0.415,0.775,0.364
hungarian_dist10_cvcy_conf_padd_30_noyc_results,mini_train,0.489,0.341,0.670,0.451,0.321,0.589,0.775,0.277
greedy_dist2_cvcy_obj_conf_mult_15_yc_results,mini_train,0.497,0.300,0.570,0.514,0.247,0.698,0.775,0.375
hungarian_dist5_cvcy_count_noyc_results,mini_train,0.510,0.210,0.653,0.364,0.285,0.738,0.735,0.582
hungarian_dist5_cvcy_count_yc_results,mini_train,0.510,0.210,0.653,0.364,0.285,0.738,0.735,0.582
greedy_dist2_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.514,0.362,0.573,0.520,0.199,0.714,0.775,0.455
hungarian_dist5_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.510,0.425,0.648,0.503,0.231,0.635,0.775,0.353
greedy_dist10_cvcy_conf_padd_40_noyc_results,mini_train,0.592,0.408,0.734,0.654,0.385,0.709,0.775,0.480
greedy_dist5_cvcy_obj_conf_mult_50_noyc_results,mini_train,0.549,0.379,0.692,0.586,0.304,0.653,0.775,0.455
greedy_dist2_cvcy_obj_conf_padd_40_yc_results,mini_train,0.500,0.285,0.573,0.523,0.197,0.697,0.775,0.453
greedy_dist10_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.572,0.382,0.736,0.630,0.389,0.674,0.775,0.414
hungarian_dist10_cvcy_conf_padd_05_noyc_results,mini_train,0.557,0.535,0.716,0.473,0.406,0.607,0.777,0.381
hungarian_dist2_cvcy_conf_padd_50_yc_results,mini_train,0.457,0.250,0.571,0.431,0.182,0.581,0.775,0.410
hungarian_dist5_ack_count_yc_results,mini_train,0.392,0.007,0.526,0.144,0.184,0.649,0.829,0.406
hungarian_dist10_ack_conf_mult_25_yc_results,mini_train,0.357,0.095,0.453,0.243,0.163,0.507,0.775,0.264
hungarian_dist2_cvcy_conf_mult_05_noyc_results,mini_train,0.450,0.271,0.493,0.422,0.295,0.664,0.775,0.230
greedy_dist5_cvcy_conf_padd_25_noyc_results,mini_train,0.588,0.457,0.714,0.625,0.314,0.730,0.775,0.500
greedy_dist2_cvcy_obj_conf_padd_50_yc_results,mini_train,0.501,0.281,0.573,0.522,0.208,0.697,0.775,0.453
hungarian_dist2_ack_conf_mult_15_noyc_results,mini_train,0.374,0.322,0.482,0.411,0.176,0.378,0.775,0.071
greedy_dist5_cvcy_conf_padd_15_yc_results,mini_train,0.595,0.482,0.714,0.616,0.351,0.746,0.775,0.479
greedy_dist2_cvcy_conf_mult_10_yc_results,mini_train,0.514,0.342,0.587,0.519,0.297,0.717,0.775,0.360
hungarian_dist10_cvcy_conf_mult_50_noyc_results,mini_train,0.489,0.344,0.630,0.437,0.341,0.535,0.775,0.364
hungarian_dist10_ack_conf_mult_30_yc_results,mini_train,0.351,0.080,0.437,0.237,0.161,0.465,0.775,0.303
hungarian_dist10_cvcy_conf_mult_15_yc_results,mini_train,0.494,0.329,0.666,0.438,0.408,0.594,0.775,0.246
greedy_dist2_ack_conf_padd_50_yc_results,mini_train,0.451,0.297,0.522,0.493,0.208,0.469,0.775,0.395
greedy_dist5_cvcy_conf_mult_05_noyc_results,mini_train,0.587,0.367,0.716,0.588,0.506,0.722,0.775,0.431
greedy_dist10_ack_conf_padd_25_noyc_results,mini_train,0.415,0.141,0.443,0.388,0.185,0.568,0.775,0.402
greedy_dist10_cvcy_conf_mult_30_yc_results,mini_train,0.575,0.392,0.740,0.628,0.389,0.671,0.775,0.432
greedy_dist10_ack_conf_mult_30_noyc_results,mini_train,0.391,0.140,0.405,0.361,0.168,0.543,0.775,0.347
greedy_dist10_cvcy_conf_padd_50_noyc_results,mini_train,0.594,0.405,0.734,0.643,0.384,0.706,0.775,0.510
greedy_dist2_ack_count_yc_results,mini_train,0.391,0.092,0.435,0.153,0.192,0.636,0.750,0.476
greedy_dist5_cvcy_conf_mult_10_noyc_results,mini_train,0.589,0.457,0.718,0.608,0.457,0.707,0.775,0.402
hungarian_dist10_cvcy_obj_conf_padd_25_yc_results,mini_train,0.493,0.395,0.661,0.457,0.313,0.613,0.775,0.236
hungarian_dist10_cvcy_obj_count_yc_results,mini_train,0.517,0.183,0.652,0.475,0.366,0.672,0.730,0.544
hungarian_dist5_ack_conf_padd_40_noyc_results,mini_train,0.437,0.273,0.529,0.396,0.188,0.524,0.775,0.371
hungarian_dist2_cvcy_conf_padd_15_yc_results,mini_train,0.458,0.256,0.535,0.467,0.185,0.668,0.775,0.322
