exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
greedy_dist5_cvcy_conf_mult_50_noyc_results,mini_train,0.552,0.379,0.694,0.586,0.305,0.656,0.775,0.467
hungarian_dist10_cvcy_obj_conf_mult_50_yc_results,mini_train,0.495,0.355,0.677,0.436,0.322,0.553,0.775,0.345
hungarian_dist5_cvcy_conf_mult_50_noyc_results,mini_train,0.507,0.362,0.658,0.467,0.265,0.569,0.775,0.457
hungarian_dist10_ack_conf_mult_10_noyc_results,mini_train,0.377,0.254,0.420,0.283,0.185,0.507,0.775,0.214
hungarian_dist2_cvcy_conf_mult_30_yc_results,mini_train,0.448,0.233,0.572,0.426,0.184,0.567,0.775,0.376
greedy_dist10_ack_conf_padd_30_noyc_results,mini_train,0.417,0.163,0.435,0.381,0.185,0.573,0.775,0.403
hungarian_dist2_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.463,0.284,0.541,0.435,0.221,0.681,0.775,0.309
greedy_dist5_ack_conf_mult_25_yc_results,mini_train,0.451,0.247,0.537,0.456,0.208,0.550,0.775,0.381
greedy_dist2_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.515,0.370,0.567,0.524,0.297,0.691,0.775,0.382
greedy_dist2_ack_conf_mult_15_noyc_results,mini_train,0.435,0.325,0.516,0.480,0.191,0.434,0.775,0.326
greedy_dist5_cvcy_obj_conf_padd_50_yc_results,mini_train,0.576,0.461,0.690,0.610,0.313,0.687,0.775,0.496
hungarian_dist2_ack_conf_padd_15_noyc_results,mini_train,0.390,0.301,0.480,0.412,0.174,0.464,0.775,0.125
greedy_dist5_ack_conf_padd_25_yc_results,mini_train,0.481,0.373,0.530,0.470,0.191,0.602,0.775,0.429
greedy_dist5_cvcy_obj_conf_mult_10_yc_results,mini_train,0.585,0.475,0.691,0.611,0.457,0.710,0.775,0.373
hungarian_dist10_cvcy_obj_conf_mult_25_yc_results,mini_train,0.493,0.391,0.678,0.418,0.274,0.566,0.775,0.348
greedy_dist2_cvcy_obj_conf_mult_50_noyc_results,mini_train,0.475,0.226,0.573,0.496,0.192,0.636,0.775,0.427
hungarian_dist5_ack_conf_mult_10_noyc_results,mini_train,0.423,0.334,0.525,0.386,0.245,0.509,0.775,0.184
greedy_dist2_cvcy_obj_conf_padd_25_yc_results,mini_train,0.515,0.336,0.572,0.537,0.200,0.715,0.775,0.465
greedy_dist2_ack_conf_mult_25_yc_results,mini_train,0.421,0.216,0.523,0.483,0.192,0.438,0.775,0.322
hungarian_dist5_cvcy_obj_conf_padd_05_yc_results,mini_train,0.536,0.538,0.650,0.486,0.296,0.661,0.775,0.347
greedy_dist5_cvcy_obj_conf_padd_20_yc_results,mini_train,0.585,0.479,0.689,0.624,0.326,0.727,0.775,0.477
hungarian_dist10_cvcy_obj_conf_mult_20_yc_results,mini_train,0.477,0.318,0.663,0.457,0.286,0.573,0.775,0.268
greedy_dist2_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.521,0.369,0.566,0.541,0.217,0.724,0.775,0.451
greedy_dist10_cvcy_obj_conf_mult_10_yc_results,mini_train,0.581,0.371,0.735,0.639,0.507,0.683,0.775,0.359
hungarian_dist2_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.446,0.251,0.565,0.431,0.185,0.585,0.775,0.329
greedy_dist2_cvcy_obj_conf_mult_20_yc_results,mini_train,0.475,0.224,0.572,0.514,0.191,0.698,0.775,0.351
greedy_dist5_cvcy_conf_padd_40_yc_results,mini_train,0.574,0.434,0.691,0.607,0.297,0.713,0.775,0.501
greedy_dist2_ack_conf_mult_20_yc_results,mini_train,0.413,0.221,0.517,0.480,0.191,0.420,0.775,0.290
greedy_dist2_cvcy_conf_mult_40_yc_results,mini_train,0.475,0.224,0.575,0.496,0.192,0.656,0.775,0.409
greedy_dist5_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.560,0.407,0.692,0.604,0.306,0.675,0.775,0.461
greedy_dist10_cvcy_obj_conf_mult_30_yc_results,mini_train,0.574,0.392,0.714,0.624,0.389,0.665,0.775,0.462
greedy_dist5_ack_count_yc_results,mini_train,0.389,0.000,0.500,0.187,0.181,0.676,0.758,0.421
greedy_dist5_cvcy_obj_conf_mult_05_yc_results,mini_train,0.577,0.383,0.691,0.593,0.490,0.703,0.775,0.405
greedy_dist5_ack_conf_mult_05_noyc_results,mini_train,0.448,0.227,0.529,0.455,0.223,0.550,0.775,0.378
greedy_dist10_cvcy_conf_padd_30_yc_results,mini_train,0.597,0.404,0.759,0.650,0.385,0.724,0.775,0.480
greedy_dist10_cvcy_obj_conf_padd_15_yc_results,mini_train,0.580,0.383,0.731,0.653,0.389,0.712,0.775,0.418
greedy_dist2_cvcy_conf_padd_05_yc_results,mini_train,0.525,0.436,0.568,0.522,0.193,0.738,0.775,0.443
greedy_dist10_ack_conf_padd_25_yc_results,mini_train,0.421,0.147,0.443,0.389,0.185,0.604,0.775,0.403
hungarian_dist10_cvcy_conf_padd_40_yc_results,mini_train,0.494,0.391,0.653,0.464,0.336,0.583,0.775,0.254
hungarian_dist2_cvcy_conf_padd_05_noyc_results,mini_train,0.465,0.250,0.493,0.418,0.193,0.699,0.775,0.427
greedy_dist2_ack_conf_padd_10_noyc_results,mini_train,0.469,0.436,0.500,0.504,0.214,0.462,0.775,0.393
hungarian_dist10_ack_conf_padd_05_noyc_results,mini_train,0.392,0.290,0.454,0.282,0.176,0.539,0.777,0.223
hungarian_dist2_ack_conf_padd_50_yc_results,mini_train,0.422,0.305,0.500,0.405,0.185,0.422,0.775,0.365
hungarian_dist5_cvcy_obj_conf_padd_10_yc_results,mini_train,0.517,0.369,0.653,0.495,0.345,0.660,0.775,0.322
greedy_dist10_ack_count_yc_results,mini_train,0.369,0.000,0.426,0.179,0.161,0.668,0.754,0.393
greedy_dist10_cvcy_conf_padd_25_noyc_results,mini_train,0.592,0.386,0.759,0.660,0.385,0.723,0.775,0.454
hungarian_dist5_ack_conf_mult_25_yc_results,mini_train,0.429,0.291,0.557,0.348,0.205,0.515,0.775,0.311
hungarian_dist10_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.487,0.331,0.666,0.453,0.331,0.570,0.775,0.282
hungarian_dist5_cvcy_obj_conf_padd_30_yc_results,mini_train,0.522,0.470,0.663,0.494,0.229,0.633,0.775,0.390
greedy_dist10_cvcy_obj_conf_padd_40_yc_results,mini_train,0.591,0.404,0.732,0.654,0.386,0.697,0.775,0.485
hungarian_dist2_cvcy_obj_conf_padd_10_yc_results,mini_train,0.458,0.236,0.541,0.436,0.221,0.686,0.775,0.310
greedy_dist10_ack_conf_mult_50_noyc_results,mini_train,0.378,0.119,0.405,0.366,0.144,0.498,0.775,0.338
hungarian_dist2_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.467,0.305,0.563,0.460,0.185,0.662,0.775,0.323
hungarian_dist2_ack_conf_padd_25_yc_results,mini_train,0.425,0.301,0.496,0.412,0.171,0.448,0.775,0.371
hungarian_dist5_cvcy_conf_mult_40_yc_results,mini_train,0.501,0.344,0.659,0.464,0.266,0.547,0.775,0.449
greedy_dist10_ack_conf_mult_20_yc_results,mini_train,0.401,0.101,0.444,0.415,0.170,0.580,0.775,0.318
greedy_dist10_cvcy_conf_padd_20_yc_results,mini_train,0.590,0.394,0.755,0.662,0.389,0.720,0.775,0.435
hungarian_dist10_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.527,0.361,0.674,0.513,0.457,0.587,0.779,0.318
greedy_dist5_cvcy_obj_conf_mult_25_yc_results,mini_train,0.556,0.383,0.692,0.605,0.306,0.673,0.775,0.460
greedy_dist2_ack_conf_mult_40_yc_results,mini_train,0.424,0.224,0.523,0.467,0.192,0.442,0.775,0.343
hungarian_dist10_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.524,0.350,0.674,0.481,0.415,0.587,0.775,0.386
hungarian_dist10_ack_conf_mult_30_noyc_results,mini_train,0.349,0.080,0.437,0.237,0.147,0.476,0.775,0.290
greedy_dist10_cvcy_conf_padd_15_yc_results,mini_train,0.588,0.386,0.756,0.660,0.392,0.722,0.775,0.426
hungarian_dist10_ack_conf_padd_25_noyc_results,mini_train,0.395,0.291,0.454,0.239,0.179,0.539,0.775,0.288
hungarian_dist5_ack_conf_padd_25_yc_results,mini_train,0.439,0.337,0.530,0.375,0.191,0.562,0.775,0.305
greedy_dist2_ack_conf_padd_05_noyc_results,mini_train,0.466,0.496,0.481,0.490,0.193,0.431,0.775,0.397
hungarian_dist5_cvcy_conf_mult_10_noyc_results,mini_train,0.527,0.471,0.651,0.491,0.365,0.642,0.775,0.295
hungarian_dist2_cvcy_conf_padd_10_noyc_results,mini_train,0.456,0.228,0.522,0.434,0.221,0.692,0.775,0.323
greedy_dist5_cvcy_conf_padd_30_yc_results,mini_train,0.587,0.462,0.714,0.624,0.301,0.728,0.775,0.502
hungarian_dist5_cvcy_conf_padd_30_yc_results,mini_train,0.530,0.474,0.684,0.492,0.232,0.647,0.775,0.407
hungarian_dist10_ack_conf_padd_40_yc_results,mini_train,0.377,0.222,0.466,0.216,0.184,0.483,0.775,0.292
greedy_dist10_ack_conf_padd_05_noyc_results,mini_train,0.414,0.193,0.433,0.398,0.178,0.563,0.775,0.358
hungarian_dist10_cvcy_obj_count_noyc_results,mini_train,0.523,0.183,0.652,0.477,0.333,0.685,0.757,0.571
greedy_dist5_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.579,0.380,0.691,0.585,0.490,0.696,0.775,0.433
greedy_dist2_ack_conf_mult_30_noyc_results,mini_train,0.419,0.256,0.523,0.466,0.192,0.432,0.775,0.293
hungarian_dist2_cvcy_obj_conf_padd_25_yc_results,mini_train,0.456,0.290,0.554,0.435,0.169,0.630,0.775,0.336
hungarian_dist10_ack_conf_mult_15_yc_results,mini_train,0.354,0.147,0.442,0.262,0.204,0.492,0.775,0.159
hungarian_dist10_cvcy_conf_padd_15_noyc_results,mini_train,0.489,0.388,0.661,0.466,0.321,0.620,0.775,0.193
hungarian_dist5_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.511,0.418,0.658,0.473,0.279,0.593,0.775,0.380
hungarian_dist5_ack_conf_mult_10_yc_results,mini_train,0.423,0.334,0.525,0.380,0.242,0.522,0.775,0.186
hungarian_dist5_cvcy_conf_padd_15_yc_results,mini_train,0.536,0.451,0.651,0.501,0.244,0.671,0.775,0.457
hungarian_dist10_ack_conf_padd_10_noyc_results,mini_train,0.390,0.273,0.415,0.293,0.165,0.547,0.777,0.259
greedy_dist2_cvcy_obj_conf_mult_40_yc_results,mini_train,0.475,0.225,0.573,0.496,0.192,0.654,0.775,0.411
hungarian_dist10_ack_conf_padd_30_noyc_results,mini_train,0.380,0.211,0.466,0.259,0.168,0.537,0.775,0.245
greedy_dist2_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.517,0.373,0.570,0.535,0.201,0.709,0.775,0.456
greedy_dist10_ack_conf_mult_50_yc_results,mini_train,0.382,0.108,0.405,0.369,0.144,0.537,0.775,0.333
hungarian_dist10_cvcy_conf_padd_10_noyc_results,mini_train,0.518,0.454,0.694,0.444,0.396,0.621,0.777,0.240
hungarian_dist5_cvcy_obj_conf_mult_10_yc_results,mini_train,0.509,0.447,0.652,0.487,0.359,0.607,0.775,0.237
hungarian_dist10_cvcy_conf_mult_30_yc_results,mini_train,0.495,0.351,0.653,0.417,0.336,0.574,0.775,0.356
greedy_dist5_ack_conf_mult_40_yc_results,mini_train,0.446,0.235,0.529,0.455,0.208,0.534,0.775,0.383
hungarian_dist5_cvcy_obj_conf_padd_20_yc_results,mini_train,0.521,0.462,0.649,0.503,0.254,0.631,0.775,0.374
greedy_dist5_cvcy_conf_padd_50_noyc_results,mini_train,0.576,0.434,0.691,0.609,0.313,0.713,0.775,0.500
greedy_dist10_ack_conf_padd_20_yc_results,mini_train,0.421,0.176,0.447,0.412,0.153,0.605,0.775,0.379
greedy_dist5_cvcy_conf_mult_25_yc_results,mini_train,0.565,0.383,0.718,0.602,0.306,0.695,0.775,0.474
hungarian_dist2_cvcy_obj_conf_mult_40_yc_results,mini_train,0.444,0.180,0.575,0.430,0.183,0.550,0.775,0.414
greedy_dist10_ack_conf_mult_30_yc_results,mini_train,0.393,0.130,0.405,0.362,0.168,0.567,0.775,0.347
greedy_dist2_cvcy_conf_padd_10_yc_results,mini_train,0.522,0.352,0.584,0.538,0.217,0.749,0.775,0.440
hungarian_dist2_cvcy_conf_padd_40_yc_results,mini_train,0.456,0.235,0.571,0.426,0.169,0.608,0.775,0.409
greedy_dist5_ack_conf_mult_20_yc_results,mini_train,0.449,0.241,0.538,0.477,0.206,0.566,0.775,0.341
greedy_dist10_ack_conf_mult_25_yc_results,mini_train,0.393,0.109,0.405,0.373,0.170,0.581,0.775,0.340
greedy_dist5_ack_conf_padd_25_noyc_results,mini_train,0.479,0.373,0.530,0.470,0.191,0.587,0.775,0.429
greedy_dist5_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.605,0.596,0.686,0.602,0.366,0.726,0.775,0.482
greedy_dist10_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.594,0.398,0.731,0.643,0.386,0.713,0.775,0.509
greedy_dist10_ack_conf_mult_20_noyc_results,mini_train,0.399,0.123,0.444,0.417,0.170,0.542,0.775,0.319
hungarian_dist5_cvcy_conf_mult_20_noyc_results,mini_train,0.499,0.385,0.651,0.479,0.239,0.606,0.775,0.360
hungarian_dist2_ack_conf_padd_05_yc_results,mini_train,0.396,0.330,0.429,0.344,0.193,0.429,0.775,0.271
hungarian_dist5_cvcy_obj_conf_padd_15_yc_results,mini_train,0.517,0.430,0.652,0.519,0.244,0.649,0.775,0.348
greedy_dist10_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.585,0.371,0.737,0.637,0.489,0.676,0.775,0.408
hungarian_dist5_cvcy_conf_padd_50_noyc_results,mini_train,0.519,0.415,0.662,0.455,0.263,0.602,0.775,0.465
greedy_dist5_cvcy_conf_padd_50_yc_results,mini_train,0.576,0.434,0.691,0.609,0.313,0.713,0.775,0.500
hungarian_dist5_ack_conf_padd_15_yc_results,mini_train,0.423,0.272,0.529,0.381,0.144,0.569,0.775,0.288
greedy_dist5_ack_conf_padd_30_yc_results,mini_train,0.480,0.376,0.530,0.471,0.191,0.595,0.775,0.421
hungarian_dist2_ack_count_yc_results,mini_train,0.386,0.107,0.435,0.129,0.188,0.623,0.795,0.425
greedy_dist2_cvcy_conf_padd_20_yc_results,mini_train,0.520,0.352,0.593,0.534,0.201,0.733,0.775,0.450
hungarian_dist5_ack_conf_padd_05_yc_results,mini_train,0.425,0.416,0.492,0.361,0.184,0.551,0.775,0.199
hungarian_dist5_cvcy_obj_conf_mult_50_noyc_results,mini_train,0.506,0.342,0.660,0.482,0.259,0.574,0.775,0.451
greedy_dist2_cvcy_conf_mult_25_yc_results,mini_train,0.480,0.207,0.575,0.514,0.192,0.701,0.775,0.397
hungarian_dist5_cvcy_obj_conf_padd_30_noyc_results,mini_train,0.531,0.473,0.663,0.495,0.220,0.641,0.775,0.446
greedy_dist2_cvcy_obj_conf_mult_10_yc_results,mini_train,0.514,0.363,0.567,0.521,0.297,0.712,0.775,0.362
greedy_dist10_cvcy_obj_count_noyc_results,mini_train,0.595,0.224,0.729,0.621,0.424,0.777,0.766,0.622
hungarian_dist10_cvcy_conf_mult_20_noyc_results,mini_train,0.482,0.314,0.642,0.429,0.336,0.575,0.775,0.300
hungarian_dist2_ack_conf_mult_30_yc_results,mini_train,0.393,0.263,0.500,0.395,0.187,0.361,0.775,0.266
hungarian_dist5_cvcy_obj_conf_mult_20_yc_results,mini_train,0.491,0.385,0.651,0.489,0.220,0.567,0.775,0.351
greedy_dist5_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.571,0.448,0.692,0.600,0.364,0.690,0.775,0.427
greedy_dist10_cvcy_conf_mult_20_yc_results,mini_train,0.571,0.382,0.739,0.649,0.392,0.689,0.775,0.371
greedy_dist5_cvcy_conf_mult_50_yc_results,mini_train,0.552,0.379,0.694,0.586,0.305,0.656,0.775,0.467
greedy_dist10_cvcy_conf_mult_30_noyc_results,mini_train,0.575,0.392,0.740,0.628,0.389,0.671,0.775,0.432
greedy_dist2_cvcy_count_noyc_results,mini_train,0.447,0.092,0.513,0.210,0.208,0.814,0.767,0.524
hungarian_dist10_ack_conf_mult_25_noyc_results,mini_train,0.352,0.095,0.453,0.231,0.147,0.524,0.775,0.242
hungarian_dist10_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.499,0.356,0.672,0.441,0.323,0.574,0.775,0.352
greedy_dist2_ack_conf_padd_30_yc_results,mini_train,0.464,0.377,0.522,0.490,0.196,0.487,0.775,0.404
hungarian_dist10_cvcy_conf_mult_25_noyc_results,mini_train,0.493,0.299,0.678,0.437,0.336,0.569,0.775,0.354
hungarian_dist2_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.449,0.273,0.575,0.419,0.184,0.578,0.775,0.342
greedy_dist5_cvcy_conf_padd_10_yc_results,mini_train,0.595,0.472,0.715,0.616,0.386,0.739,0.775,0.464
hungarian_dist10_cvcy_conf_mult_40_noyc_results,mini_train,0.494,0.336,0.650,0.459,0.343,0.551,0.775,0.343
greedy_dist2_ack_conf_mult_50_yc_results,mini_train,0.424,0.226,0.523,0.468,0.192,0.422,0.775,0.364
greedy_dist5_ack_conf_mult_05_yc_results,mini_train,0.449,0.227,0.529,0.454,0.223,0.557,0.775,0.377
hungarian_dist10_cvcy_conf_padd_50_yc_results,mini_train,0.503,0.398,0.652,0.449,0.330,0.594,0.775,0.321
hungarian_dist2_cvcy_obj_conf_mult_05_yc_results,mini_train,0.452,0.246,0.511,0.421,0.308,0.659,0.775,0.247
greedy_dist5_cvcy_conf_mult_20_noyc_results,mini_train,0.560,0.393,0.718,0.601,0.329,0.695,0.775,0.413
greedy_dist5_cvcy_conf_padd_10_noyc_results,mini_train,0.595,0.472,0.715,0.616,0.386,0.739,0.775,0.464
hungarian_dist5_ack_conf_padd_10_yc_results,mini_train,0.425,0.355,0.449,0.376,0.177,0.586,0.775,0.254
greedy_dist2_cvcy_obj_conf_padd_05_yc_results,mini_train,0.525,0.441,0.557,0.523,0.193,0.733,0.775,0.451
greedy_dist10_cvcy_conf_mult_25_noyc_results,mini_train,0.568,0.361,0.741,0.624,0.389,0.670,0.775,0.415
hungarian_dist5_cvcy_obj_conf_padd_50_yc_results,mini_train,0.525,0.414,0.685,0.476,0.247,0.630,0.775,0.447
greedy_dist5_cvcy_conf_mult_05_yc_results,mini_train,0.587,0.367,0.716,0.588,0.506,0.722,0.775,0.431
greedy_dist2_ack_conf_mult_25_noyc_results,mini_train,0.420,0.216,0.523,0.484,0.192,0.430,0.775,0.322
greedy_dist5_cvcy_count_noyc_results,mini_train,0.572,0.231,0.734,0.470,0.347,0.814,0.768,0.640
hungarian_dist10_cvcy_obj_conf_mult_40_yc_results,mini_train,0.496,0.354,0.679,0.439,0.339,0.553,0.775,0.335
hungarian_dist10_cvcy_obj_conf_padd_10_yc_results,mini_train,0.527,0.448,0.699,0.484,0.410,0.616,0.777,0.252
greedy_dist2_cvcy_conf_padd_40_yc_results,mini_train,0.504,0.285,0.575,0.522,0.197,0.720,0.775,0.451
greedy_dist2_cvcy_conf_padd_25_yc_results,mini_train,0.517,0.336,0.575,0.537,0.200,0.737,0.775,0.460
greedy_dist2_ack_conf_padd_20_noyc_results,mini_train,0.466,0.400,0.515,0.503,0.196,0.465,0.775,0.404
greedy_dist10_cvcy_conf_mult_20_noyc_results,mini_train,0.571,0.382,0.739,0.649,0.392,0.689,0.775,0.371
hungarian_dist2_cvcy_count_noyc_results,mini_train,0.411,0.131,0.430,0.165,0.208,0.762,0.711,0.474
hungarian_dist2_cvcy_conf_padd_05_yc_results,mini_train,0.465,0.250,0.493,0.418,0.193,0.699,0.775,0.427
greedy_dist2_cvcy_conf_mult_20_yc_results,mini_train,0.478,0.224,0.594,0.513,0.191,0.700,0.775,0.348
greedy_dist10_ack_conf_mult_10_yc_results,mini_train,0.408,0.146,0.444,0.412,0.165,0.593,0.775,0.323
hungarian_dist5_ack_conf_padd_20_yc_results,mini_train,0.416,0.327,0.525,0.357,0.139,0.560,0.775,0.230
greedy_dist10_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.589,0.387,0.732,0.637,0.372,0.711,0.775,0.510
hungarian_dist2_cvcy_obj_conf_mult_15_yc_results,mini_train,0.457,0.258,0.546,0.445,0.214,0.640,0.775,0.321
hungarian_dist2_cvcy_obj_count_noyc_results,mini_train,0.419,0.136,0.463,0.185,0.214,0.756,0.710,0.469
greedy_dist5_cvcy_conf_mult_40_yc_results,mini_train,0.552,0.381,0.694,0.586,0.307,0.652,0.775,0.470
greedy_dist10_cvcy_conf_mult_05_yc_results,mini_train,0.584,0.284,0.758,0.627,0.506,0.697,0.775,0.443
greedy_dist5_cvcy_conf_padd_05_yc_results,mini_train,0.603,0.533,0.712,0.599,0.367,0.746,0.775,0.489
greedy_dist10_cvcy_count_noyc_results,mini_train,0.611,0.266,0.752,0.616,0.444,0.793,0.768,0.642
hungarian_dist10_ack_conf_padd_20_noyc_results,mini_train,0.372,0.311,0.404,0.282,0.141,0.547,0.775,0.141
greedy_dist2_ack_conf_padd_25_yc_results,mini_train,0.465,0.374,0.522,0.506,0.196,0.480,0.775,0.403
hungarian_dist2_cvcy_obj_conf_mult_30_noyc_results,mini_train,0.450,0.238,0.575,0.425,0.184,0.575,0.775,0.379
greedy_dist5_ack_conf_mult_50_noyc_results,mini_train,0.444,0.235,0.529,0.455,0.208,0.531,0.775,0.375
hungarian_dist10_cvcy_count_noyc_results,mini_train,0.521,0.206,0.652,0.459,0.363,0.675,0.730,0.559
greedy_dist2_cvcy_conf_padd_05_noyc_results,mini_train,0.525,0.436,0.568,0.522,0.193,0.738,0.775,0.443
hungarian_dist2_cvcy_conf_padd_30_yc_results,mini_train,0.466,0.294,0.571,0.439,0.169,0.633,0.775,0.378
hungarian_dist2_ack_conf_mult_05_noyc_results,mini_train,0.379,0.346,0.386,0.345,0.261,0.379,0.775,0.160
hungarian_dist2_ack_conf_padd_10_noyc_results,mini_train,0.391,0.307,0.378,0.393,0.193,0.442,0.775,0.246
greedy_dist10_cvcy_conf_padd_15_noyc_results,mini_train,0.588,0.386,0.756,0.660,0.392,0.722,0.775,0.426
greedy_dist5_cvcy_conf_padd_30_noyc_results,mini_train,0.587,0.462,0.714,0.624,0.301,0.728,0.775,0.502
hungarian_dist5_cvcy_obj_count_noyc_results,mini_train,0.513,0.221,0.654,0.360,0.284,0.729,0.758,0.587
hungarian_dist2_ack_conf_mult_25_noyc_results,mini_train,0.399,0.277,0.523,0.391,0.187,0.357,0.775,0.283
greedy_dist10_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.601,0.429,0.731,0.651,0.399,0.714,0.775,0.509
greedy_dist2_cvcy_obj_conf_mult_05_yc_results,mini_val,0.548,0.000,0.432,0.698,0.627,0.705,nan,0.825
hungarian_dist2_ack_conf_padd_30_noyc_results,mini_val,0.496,0.026,0.450,0.584,0.619,0.474,nan,0.823
greedy_dist10_cvcy_conf_mult_50_noyc_results,mini_val,0.679,0.273,1.000,0.681,0.582,0.739,nan,0.800
hungarian_dist5_cvcy_conf_padd_25_noyc_results,mini_val,0.636,0.174,1.000,0.581,0.611,0.598,nan,0.850
hungarian_dist10_ack_conf_mult_50_yc_results,mini_val,0.419,0.000,0.300,0.502,0.522,0.419,nan,0.773
greedy_dist2_cvcy_obj_conf_mult_50_yc_results,mini_val,0.550,0.020,0.500,0.682,0.574,0.725,nan,0.800
hungarian_dist10_cvcy_obj_conf_mult_25_noyc_results,mini_val,0.620,0.309,1.000,0.461,0.608,0.570,nan,0.772
greedy_dist2_cvcy_obj_conf_mult_20_noyc_results,mini_val,0.560,0.015,0.466,0.696,0.621,0.739,nan,0.825
hungarian_dist10_cvcy_conf_padd_20_noyc_results,mini_val,0.633,0.303,1.000,0.526,0.581,0.619,nan,0.771
greedy_dist5_ack_conf_mult_30_yc_results,mini_val,0.491,0.047,0.243,0.649,0.569,0.639,nan,0.800
greedy_dist2_cvcy_conf_padd_15_yc_results,mini_val,0.604,0.152,0.463,0.725,0.666,0.766,nan,0.850
hungarian_dist2_ack_conf_padd_10_yc_results,mini_val,0.497,0.005,0.382,0.633,0.644,0.470,nan,0.850
hungarian_dist5_cvcy_conf_padd_40_yc_results,mini_val,0.616,0.218,1.000,0.535,0.591,0.552,nan,0.802
greedy_dist5_cvcy_obj_conf_mult_25_noyc_results,mini_val,0.692,0.263,1.000,0.719,0.623,0.747,nan,0.800
hungarian_dist10_ack_conf_mult_40_noyc_results,mini_val,0.421,0.000,0.300,0.460,0.515,0.476,nan,0.773
hungarian_dist5_cvcy_obj_conf_padd_50_noyc_results,mini_val,0.630,0.208,1.000,0.549,0.620,0.613,nan,0.788
greedy_dist2_cvcy_obj_conf_padd_20_yc_results,mini_val,0.604,0.144,0.468,0.726,0.667,0.770,nan,0.850
greedy_dist10_ack_conf_mult_40_yc_results,mini_val,0.445,0.000,0.000,0.634,0.594,0.643,nan,0.800
greedy_dist2_cvcy_obj_conf_mult_25_noyc_results,mini_val,0.565,0.015,0.500,0.703,0.624,0.747,nan,0.800
greedy_dist2_cvcy_conf_mult_30_yc_results,mini_val,0.561,0.015,0.500,0.705,0.597,0.749,nan,0.800
greedy_dist10_ack_conf_padd_50_yc_results,mini_val,0.478,0.075,0.000,0.663,0.642,0.666,nan,0.825
greedy_dist2_cvcy_obj_count_yc_results,mini_val,0.564,0.011,0.237,0.746,0.686,0.852,nan,0.850
hungarian_dist5_ack_conf_mult_30_noyc_results,mini_val,0.476,0.019,0.422,0.563,0.587,0.522,nan,0.744
hungarian_dist10_cvcy_obj_conf_padd_15_yc_results,mini_val,0.622,0.276,0.919,0.469,0.591,0.652,nan,0.825
greedy_dist10_cvcy_conf_mult_40_noyc_results,mini_val,0.681,0.273,1.000,0.694,0.582,0.740,nan,0.800
greedy_dist10_cvcy_obj_conf_mult_25_noyc_results,mini_val,0.687,0.263,1.000,0.699,0.619,0.739,nan,0.800
hungarian_dist2_ack_conf_padd_40_yc_results,mini_val,0.482,0.050,0.450,0.569,0.594,0.429,nan,0.797
hungarian_dist5_cvcy_conf_mult_15_yc_results,mini_val,0.639,0.250,1.000,0.584,0.572,0.604,nan,0.825
greedy_dist10_ack_conf_mult_05_yc_results,mini_val,0.450,0.000,0.000,0.615,0.625,0.608,nan,0.850
greedy_dist10_cvcy_obj_conf_padd_05_yc_results,mini_val,0.694,0.297,1.000,0.708,0.614,0.722,nan,0.825
hungarian_dist10_cvcy_conf_padd_30_yc_results,mini_val,0.619,0.297,1.000,0.483,0.554,0.578,nan,0.803
greedy_dist10_cvcy_obj_conf_mult_15_yc_results,mini_val,0.699,0.326,1.000,0.723,0.609,0.733,nan,0.800
hungarian_dist2_cvcy_count_yc_results,mini_val,0.514,0.000,0.237,0.681,0.601,0.777,nan,0.791
hungarian_dist5_cvcy_conf_mult_50_yc_results,mini_val,0.619,0.243,1.000,0.551,0.572,0.576,nan,0.770
hungarian_dist10_cvcy_conf_mult_30_noyc_results,mini_val,0.606,0.314,1.000,0.462,0.529,0.590,nan,0.739
hungarian_dist2_cvcy_conf_padd_40_noyc_results,mini_val,0.539,0.147,0.500,0.561,0.595,0.581,nan,0.850
hungarian_dist10_cvcy_conf_padd_05_yc_results,mini_val,0.596,0.345,0.866,0.479,0.565,0.555,nan,0.769
hungarian_dist10_cvcy_obj_conf_padd_25_noyc_results,mini_val,0.636,0.260,1.000,0.485,0.652,0.609,nan,0.811
