config,n_dets,n_trks,time_ns
greedy_dist2_cvcy_count_yc,56,80,16668484
greedy_dist2_cvcy_count_yc,63,78,15980754
greedy_dist2_cvcy_count_yc,60,79,15398255
greedy_dist2_cvcy_count_yc,64,79,15939520
greedy_dist2_cvcy_count_yc,57,80,15142748
greedy_dist2_cvcy_count_yc,63,83,16023399
greedy_dist2_cvcy_count_yc,68,94,17683687
greedy_dist2_cvcy_count_yc,63,88,16888900
greedy_dist2_cvcy_count_yc,58,79,16305341
greedy_dist2_cvcy_count_yc,58,76,14783862
greedy_dist2_cvcy_count_yc,57,72,14407332
greedy_dist2_cvcy_count_yc,69,82,15765418
greedy_dist2_cvcy_count_yc,67,87,16459101
greedy_iou3d_cvcy_count_yc,137,72,23117025
greedy_iou3d_cvcy_count_yc,141,104,835237283
greedy_iou3d_cvcy_count_yc,162,97,628553230
greedy_iou3d_cvcy_count_yc,167,117,946214297
greedy_iou3d_cvcy_count_yc,177,122,1041373047
greedy_iou3d_cvcy_count_yc,157,124,1002739628
greedy_iou3d_cvcy_count_yc,169,117,1018117588
greedy_iou3d_cvcy_count_yc,158,112,1102249680
greedy_iou3d_cvcy_count_yc,182,113,1207044487
greedy_iou3d_cvcy_count_yc,188,118,1284334758
greedy_iou3d_cvcy_count_yc,193,112,1180208856
greedy_iou3d_cvcy_count_yc,205,113,1143538713
greedy_iou3d_cvcy_count_yc,202,115,1170055653
greedy_iou3d_cvcy_count_yc,213,126,1224243734
greedy_iou3d_cvcy_count_yc,207,120,1306878503
greedy_iou3d_cvcy_count_yc,209,113,1225373701
greedy_iou3d_cvcy_count_yc,217,122,1304028658
greedy_iou3d_cvcy_count_yc,245,156,1516284263
greedy_iou3d_cvcy_count_yc,238,171,1753068912
greedy_iou3d_cvcy_count_yc,229,157,1760797266
greedy_iou3d_cvcy_count_yc,239,156,1922449740
greedy_iou3d_cvcy_count_yc,242,169,1648192614
greedy_iou3d_cvcy_count_yc,228,144,1343661421
greedy_iou3d_cvcy_count_yc,223,128,1168468489
greedy_iou3d_cvcy_count_yc,206,123,890595890
greedy_iou3d_cvcy_count_yc,226,127,1177879669
greedy_iou3d_cvcy_count_yc,188,124,866866862
greedy_iou3d_cvcy_count_yc,186,101,858504104
greedy_iou3d_cvcy_count_yc,190,103,879732653
greedy_iou3d_cvcy_count_yc,166,101,909371021
greedy_iou3d_cvcy_count_yc,176,95,793208146
greedy_iou3d_cvcy_count_yc,176,94,590575471
greedy_iou3d_cvcy_count_yc,194,90,613816254
greedy_iou3d_cvcy_count_yc,189,93,640278257
greedy_iou3d_cvcy_count_yc,190,98,514878601
greedy_iou3d_cvcy_count_yc,173,92,570157701
greedy_iou3d_cvcy_count_yc,181,98,473855500
greedy_iou3d_cvcy_count_yc,183,98,690739241
greedy_iou3d_cvcy_count_yc,202,105,744996472
greedy_iou3d_cvcy_count_yc,89,56,8893142
greedy_iou3d_cvcy_count_yc,65,78,191360139
greedy_iou3d_cvcy_count_yc,79,68,324497470
greedy_iou3d_cvcy_count_yc,69,76,277962462
greedy_iou3d_cvcy_count_yc,60,62,276756575
greedy_iou3d_cvcy_count_yc,73,55,235826377
greedy_iou3d_cvcy_count_yc,69,64,211436823
greedy_iou3d_cvcy_count_yc,66,68,243953421
greedy_iou3d_cvcy_count_yc,74,72,293740124
greedy_iou3d_cvcy_count_yc,64,72,289548032
greedy_iou3d_cvcy_count_yc,67,62,281858531
greedy_iou3d_cvcy_count_yc,76,67,292660115
greedy_iou3d_cvcy_count_yc,72,72,307744854
greedy_iou3d_cvcy_count_yc,92,89,444043872
greedy_iou3d_cvcy_count_yc,73,88,397362295
greedy_iou3d_cvcy_count_yc,73,79,427370161
greedy_iou3d_cvcy_count_yc,69,76,335660587
greedy_iou3d_cvcy_count_yc,66,69,311722132
greedy_iou3d_cvcy_count_yc,71,71,302430603
greedy_iou3d_cvcy_count_yc,68,72,297214183
greedy_iou3d_cvcy_count_yc,68,73,306858002
greedy_iou3d_cvcy_count_yc,66,66,311052590
greedy_iou3d_cvcy_count_yc,76,74,282881763
greedy_iou3d_cvcy_count_yc,72,78,325811365
greedy_iou3d_cvcy_count_yc,59,74,267873835
greedy_iou3d_cvcy_count_yc,56,53,236665270
greedy_iou3d_cvcy_count_yc,64,58,192765867
greedy_iou3d_cvcy_count_yc,59,58,224880000
greedy_iou3d_cvcy_count_yc,53,58,213646740
greedy_iou3d_cvcy_count_yc,55,49,184822630
greedy_iou3d_cvcy_count_yc,53,52,140154423
greedy_iou3d_cvcy_count_yc,54,49,154732362
greedy_iou3d_cvcy_count_yc,66,62,172433989
greedy_iou3d_cvcy_count_yc,45,59,147157919
greedy_iou3d_cvcy_count_yc,55,46,176365609
greedy_iou3d_cvcy_count_yc,58,53,152801216
greedy_iou3d_cvcy_count_yc,58,48,155175087
greedy_iou3d_cvcy_count_yc,55,48,150070890
greedy_iou3d_cvcy_count_yc,54,50,136968178
greedy_iou3d_cvcy_count_yc,45,47,119379090
greedy_iou3d_cvcy_count_yc,50,42,104468698
greedy_iou3d_cvcy_count_yc,114,106,14092638
greedy_iou3d_cvcy_count_yc,102,147,2010101325
greedy_iou3d_cvcy_count_yc,93,128,2817339904
greedy_iou3d_cvcy_count_yc,99,124,2353442415
greedy_iou3d_cvcy_count_yc,100,124,2472879936
greedy_iou3d_cvcy_count_yc,105,126,2343989037
greedy_iou3d_cvcy_count_yc,105,128,2326162271
greedy_iou3d_cvcy_count_yc,96,122,2240551621
greedy_iou3d_cvcy_count_yc,95,120,2229992083
greedy_iou3d_cvcy_count_yc,88,110,2080163556
greedy_iou3d_cvcy_count_yc,88,107,2024186083
greedy_iou3d_cvcy_count_yc,95,114,2173264320
greedy_iou3d_cvcy_count_yc,94,118,2159692630
greedy_iou3d_cvcy_count_yc,111,130,2337478270
greedy_iou3d_cvcy_count_yc,106,139,2432777095
greedy_iou3d_cvcy_count_yc,93,130,2407916116
greedy_iou3d_cvcy_count_yc,90,119,2101633166
greedy_iou3d_cvcy_count_yc,93,112,2088910723
greedy_iou3d_cvcy_count_yc,103,123,2110430845
greedy_iou3d_cvcy_count_yc,93,126,2161118051
greedy_iou3d_cvcy_count_yc,114,133,2601223711
greedy_iou3d_cvcy_count_yc,111,133,2395875645
greedy_iou3d_cvcy_count_yc,127,132,2322754273
greedy_iou3d_cvcy_count_yc,119,123,2167539850
greedy_iou3d_cvcy_count_yc,139,146,2232247876
greedy_iou3d_cvcy_count_yc,146,154,2891853277
greedy_iou3d_cvcy_count_yc,145,163,3136834234
greedy_iou3d_cvcy_count_yc,124,152,3157390114
greedy_iou3d_cvcy_count_yc,128,149,2907081956
greedy_iou3d_cvcy_count_yc,147,156,2968300318
greedy_iou3d_cvcy_count_yc,132,160,2871906933
greedy_iou3d_cvcy_count_yc,134,164,2703353505
greedy_iou3d_cvcy_count_yc,113,156,1683286280
greedy_iou3d_cvcy_count_yc,93,121,1047883751
greedy_iou3d_cvcy_count_yc,118,109,1093883934
greedy_iou3d_cvcy_count_yc,151,154,1482100912
greedy_iou3d_cvcy_count_yc,136,156,2425074085
greedy_iou3d_cvcy_count_yc,131,152,2659485178
greedy_iou3d_cvcy_count_yc,123,146,2564942645
greedy_iou3d_cvcy_count_yc,122,142,2419892128
greedy_iou3d_cvcy_count_yc,124,144,2377849368
greedy_iou3d_cvcy_count_yc,58,38,6111743
greedy_iou3d_cvcy_count_yc,56,60,105935517
greedy_iou3d_cvcy_count_yc,68,66,203441717
greedy_iou3d_cvcy_count_yc,57,69,224792802
greedy_iou3d_cvcy_count_yc,66,73,286245092
greedy_iou3d_cvcy_count_yc,68,79,284129683
greedy_iou3d_cvcy_count_yc,55,70,298929275
greedy_iou3d_cvcy_count_yc,51,63,215837178
greedy_iou3d_cvcy_count_yc,62,62,247265138
greedy_iou3d_cvcy_count_yc,57,67,210298465
greedy_iou3d_cvcy_count_yc,77,78,301542570
greedy_iou3d_cvcy_count_yc,66,78,283375067
greedy_iou3d_cvcy_count_yc,61,68,275567150
greedy_iou3d_cvcy_count_yc,62,67,252561547
greedy_iou3d_cvcy_count_yc,63,70,308819452
greedy_iou3d_cvcy_count_yc,54,67,210346252
greedy_iou3d_cvcy_count_yc,69,72,287726661
greedy_iou3d_cvcy_count_yc,58,78,269325422
greedy_iou3d_cvcy_count_yc,54,72,249353576
greedy_iou3d_cvcy_count_yc,48,59,197840306
greedy_iou3d_cvcy_count_yc,53,53,160396799
greedy_iou3d_cvcy_count_yc,52,60,173724933
greedy_iou3d_cvcy_count_yc,50,64,174663772
greedy_iou3d_cvcy_count_yc,54,61,218800983
greedy_iou3d_cvcy_count_yc,44,56,182380398
greedy_iou3d_cvcy_count_yc,50,53,212323629
greedy_iou3d_cvcy_count_yc,43,53,156611891
greedy_iou3d_cvcy_count_yc,45,51,160784061
greedy_iou3d_cvcy_count_yc,43,52,144932430
greedy_iou3d_cvcy_count_yc,41,49,120816629
greedy_iou3d_cvcy_count_yc,35,39,128388508
greedy_iou3d_cvcy_count_yc,53,56,147545730
greedy_iou3d_cvcy_count_yc,37,54,164629059
greedy_iou3d_cvcy_count_yc,45,46,176260161
greedy_iou3d_cvcy_count_yc,44,44,153911171
greedy_iou3d_cvcy_count_yc,38,41,129992546
greedy_iou3d_cvcy_count_yc,47,40,133896979
greedy_iou3d_cvcy_count_yc,41,44,119526700
greedy_iou3d_cvcy_count_yc,52,42,177810502
greedy_iou3d_cvcy_count_yc,42,45,171240977
greedy_iou3d_cvcy_count_yc,46,51,183573313
greedy_iou3d_cvcy_count_yc,42,34,7413603
greedy_iou3d_cvcy_count_yc,52,73,108224913
greedy_iou3d_cvcy_count_yc,44,73,202148919
greedy_iou3d_cvcy_count_yc,33,58,204852375
greedy_iou3d_cvcy_count_yc,37,55,199561703
greedy_iou3d_cvcy_count_yc,38,60,188784967
greedy_iou3d_cvcy_count_yc,44,63,166687201
greedy_iou3d_cvcy_count_yc,48,60,173086053
greedy_iou3d_cvcy_count_yc,40,63,127040888
greedy_iou3d_cvcy_count_yc,46,62,192787708
greedy_iou3d_cvcy_count_yc,35,58,126293111
greedy_iou3d_cvcy_count_yc,35,56,181787464
greedy_iou3d_cvcy_count_yc,38,58,187260854
greedy_iou3d_cvcy_count_yc,42,64,207094298
greedy_iou3d_cvcy_count_yc,28,57,156107556
greedy_iou3d_cvcy_count_yc,34,50,162338193
greedy_iou3d_cvcy_count_yc,25,40,95853397
greedy_iou3d_cvcy_count_yc,29,44,80969314
greedy_iou3d_cvcy_count_yc,25,41,77231488
greedy_iou3d_cvcy_count_yc,35,42,99907629
greedy_iou3d_cvcy_count_yc,40,56,111314758
greedy_iou3d_cvcy_count_yc,34,55,144079375
greedy_iou3d_cvcy_count_yc,28,52,125443937
greedy_iou3d_cvcy_count_yc,27,38,106684822
greedy_iou3d_cvcy_count_yc,24,37,98680820
greedy_iou3d_cvcy_count_yc,31,37,109976377
greedy_iou3d_cvcy_count_yc,31,35,105578684
greedy_iou3d_cvcy_count_yc,31,35,89941550
greedy_iou3d_cvcy_count_yc,31,41,116175910
greedy_iou3d_cvcy_count_yc,41,52,145861901
greedy_iou3d_cvcy_count_yc,40,59,151148019
greedy_iou3d_cvcy_count_yc,54,65,210546775
greedy_iou3d_cvcy_count_yc,50,69,184026407
greedy_iou3d_cvcy_count_yc,39,61,213427373
greedy_iou3d_cvcy_count_yc,33,54,115152104
greedy_iou3d_cvcy_count_yc,32,47,108179364
greedy_iou3d_cvcy_count_yc,28,42,73040049
greedy_iou3d_cvcy_count_yc,36,48,89254418
greedy_iou3d_cvcy_count_yc,33,51,83734006
greedy_iou3d_cvcy_count_yc,24,43,68188937
greedy_iou3d_cvcy_count_yc,61,49,8346009
