config,n_dets,n_trks,time_ns
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,38,26,5748031
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,47,26,6074272
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,41,27,5941218
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,52,25,6995910
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,42,29,6142147
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,46,28,6458720
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,42,16,3934884
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,52,23,5440837
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,44,24,5754484
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,33,27,8581578
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,37,31,11158393
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,38,30,7352656
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,44,31,11517964
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,35,8511229
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,31,9049209
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,46,32,10474974
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,35,25,5674076
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,35,34,5819333
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,38,33,7969081
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,42,33,6488846
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,28,30,5270041
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,34,29,5860469
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,25,22,5024219
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,29,26,4387237
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,25,25,4555717
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,35,24,5262989
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,27,5128111
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,34,27,5371479
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,28,19,4786372
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,27,19,4364395
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,24,26,4199801
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,31,31,5153978
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,31,30,5743905
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,31,27,5379043
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,31,31,5798946
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,41,31,6226532
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,37,6358295
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,38,8171573
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,35,7232745
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,39,32,6774141
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,33,22,5523529
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,32,17,4262146
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,28,20,3808882
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,36,24,4705963
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,33,20,4609296
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,24,15,3583987
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,61,21,5173484
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,30,6712547
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,36,8056772
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,41,34,7587308
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,59,47,14444252
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,49,42,9306433
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,59,53,9800872
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,47,48,8801623
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,45,10618908
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,43,9844544
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,46,41,8313144
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,39,7505988
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,35,39,6911303
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,37,7264984
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,43,7655504
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,46,45,8371010
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,39,40,8309438
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,41,7983888
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,46,44,7857085
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,36,31,6662165
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,40,30,5949373
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,52,31,6696578
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,47,34,6722365
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,37,32,6143991
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,32,26,7845242
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,38,38,6997371
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,26,32,5743353
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,28,29,5770363
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,32,28,5463919
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,47,26,6350802
